Brand,Bangla,Generic (Composition),Strength,Form,Pack,Group,Company,Price,MRP,Rx
"Ace 500 mg","Ace 500 mg","Paracetamol","500 mg","ট্যাবলেট","50 x 10","Non-Opioid Analgesics","Square Pharmaceuticals PLC","1.2","1.2","OTC"
"Ace 500 mg","Ace 500 mg","Paracetamol","500 mg","সাপোজিটরি","6 x 5","Non-Opioid Analgesics","Square Pharmaceuticals PLC","10","10","OTC"
"Ace 80 mg/ml","Ace 80 mg/ml","Paracetamol","80 mg/ml","Pediatric Drops","একক","Non-Opioid Analgesics","Square Pharmaceuticals PLC","30","30","OTC"
"Ace Duo 200 mg+500 mg","Ace Duo 200 mg+500 mg","Ibuprofen + Paracetamol","200 mg+500 mg","ট্যাবলেট","3 x 10","Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Square Pharmaceuticals PLC","2.08","2.08","OTC"
"Ace Plus 500 mg+65 mg","Ace Plus 500 mg+65 mg","Paracetamol + Caffeine","500 mg+65 mg","ট্যাবলেট","20 x 10","Non-Opioid Analgesics","Square Pharmaceuticals PLC","2.51","2.51","OTC"
"Ace Power 1000 mg","Ace Power 1000 mg","Paracetamol","1000 mg","ট্যাবলেট","20 x 10","Non-Opioid Analgesics","Square Pharmaceuticals PLC","2.25","2.25","OTC"
"Ace XR 665 mg","Ace XR 665 mg","Paracetamol","665 mg","Tablet (Extended Release)","10 x 10","Non-Opioid Analgesics","Square Pharmaceuticals PLC","2","2","OTC"
"Acebid 100 mg","Acebid 100 mg","Aceclofenac","100 mg","ট্যাবলেট","5 x 10","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Beacon Pharmaceuticals PLC","4.01","4.01","OTC"
"Acecard 1.25 mg","Acecard 1.25 mg","Ramipril","1.25 mg","ট্যাবলেট","3 x 10","Angiotensin-converting enzyme (ACE) inhibitors","Healthcare Pharmaceuticals Ltd.","3","3","OTC"
"Acecard 2.5 mg","Acecard 2.5 mg","Ramipril","2.5 mg","ট্যাবলেট","3 x 10","Angiotensin-converting enzyme (ACE) inhibitors","Healthcare Pharmaceuticals Ltd.","5","5","OTC"
"Acecard 5 mg","Acecard 5 mg","Ramipril","5 mg","ট্যাবলেট","3 x 10","Angiotensin-converting enzyme (ACE) inhibitors","Healthcare Pharmaceuticals Ltd.","8","8","OTC"
"Aceclof 100 mg","Aceclof 100 mg","Aceclofenac","100 mg","ট্যাবলেট","100's pack","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Premier Pharmaceuticals Ltd.","3","3","OTC"
"Aceclofen 100 mg","Aceclofen 100 mg","Aceclofenac","100 mg","ট্যাবলেট","10 x 10","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Astra Biopharmaceuticals Ltd.","4","4","OTC"
"Aceclofenac 100 mg","Aceclofenac 100 mg","Aceclofenac","100 mg","ট্যাবলেট","10 x 10","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Pristine Pharmaceuticals Ltd","3","3","OTC"
"Aceclofenac 100 mg","Aceclofenac 100 mg","Aceclofenac","100 mg","ট্যাবলেট","10 x 10","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Pharmik Laboratories Ltd.","4","4","OTC"
"Aceclofenac 200 mg","Aceclofenac 200 mg","Aceclofenac","200 mg","Tablet (Sustained Release)","5 x 10","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Pristine Pharmaceuticals Ltd","6","6","OTC"
"Aceclofenac SR 200 mg","Aceclofenac SR 200 mg","Aceclofenac","200 mg","Tablet (Sustained Release)","10 x 10","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Pharmik Laboratories Ltd.","8","8","OTC"
"Aceclora 100 mg","Aceclora 100 mg","Aceclofenac","100 mg","ট্যাবলেট","50's pack","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Marksman Pharmaceuticals Ltd.","3.02","3.02","OTC"
"Aceclosic 100 mg","Aceclosic 100 mg","Aceclofenac","100 mg","ট্যাবলেট","10 x 10","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Physic pharmaceuticals ltd.","4.5","4.5","OTC"
"Acecol 100 mg","Acecol 100 mg","Aceclofenac","100 mg","ট্যাবলেট","5 x 10","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Ziska Pharmaceuticals Ltd.","3","3","OTC"
"Acedol 100 mg","Acedol 100 mg","Aceclofenac","100 mg","ট্যাবলেট","10 x 10","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Concord Pharmaceuticals Ltd.","5","5","OTC"
"Acedol SR 200 mg","Acedol SR 200 mg","Aceclofenac","200 mg","Tablet (Sustained Release)","5 x 10","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Concord Pharmaceuticals Ltd.","7","7","OTC"
"Acedone-Z (175 mg+225 mg)5 ml","Acedone-Z (175 mg+225 mg)5 ml","Aluminium Hydroxide + Magnesium Hydroxide","175 mg+225 mg)5 ml","Oral Suspension","একক","Antacids","Zenith Pharmaceuticals Ltd.","32.72","32.72","OTC"
"Acedone-Z 250 mg+400 mg","Acedone-Z 250 mg+400 mg","Aluminium Hydroxide + Magnesium Hydroxide","250 mg+400 mg","Chewable Tablet","20 x 10","Antacids","Zenith Pharmaceuticals Ltd.","0.53","0.53","OTC"
"Acedone-Z Plus (400 mg+400 mg+30 mg)/5 ml","Acedone-Z Plus (400 mg+400 mg+30 mg)/5 ml","Aluminium Hydroxide + Magnesium Hydroxide + Simethicone","400 mg+400 mg+30 mg)/5 ml","Oral Suspension","একক","Antacids","Zenith Pharmaceuticals Ltd.","55","55","OTC"
"Acedone-Z Plus 400 mg+400 mg+30 mg","Acedone-Z Plus 400 mg+400 mg+30 mg","Aluminium Hydroxide + Magnesium Hydroxide + Simethicone","400 mg+400 mg+30 mg","Chewable Tablet","20 x 10","Antacids","Zenith Pharmaceuticals Ltd.","1.2","1.2","OTC"
"Acefenac 100 mg","Acefenac 100 mg","Aceclofenac","100 mg","ট্যাবলেট","5 x 10","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","General Pharmaceuticals Ltd.","6","6","OTC"
"Aceflex 100 mg","Aceflex 100 mg","Aceclofenac","100 mg","ট্যাবলেট","5 x 10","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Maks Drug Limited","5","5","OTC"
"Acefra 125 mg/5 ml","Acefra 125 mg/5 ml","Cephradine","125 mg/5 ml","পাউডার সাসপেনশন","একক","First generation cephalosporins","Apollo Pharmaceutical Ltd.","78","78","OTC"
"Acefra 500 mg","Acefra 500 mg","Cephradine","500 mg","ক্যাপসুল","20's pack","First generation cephalosporins","Apollo Pharmaceutical Ltd.","12","12","OTC"
"Acegic 100 mg","Acegic 100 mg","Aceclofenac","100 mg","ট্যাবলেট","10 x 10","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Belsen Pharmaceuticals Ltd.","3","3","OTC"
"Acelex 125 mg/5 ml","Acelex 125 mg/5 ml","Cephalexin","125 mg/5 ml","পাউডার সাসপেনশন","একক","First generation cephalosporins","ACME Laboratories Ltd.","77.5","77.5","OTC"
"Acelex 250 mg","Acelex 250 mg","Cephalexin","250 mg","ক্যাপসুল","5 x 10","First generation cephalosporins","ACME Laboratories Ltd.","6.6","6.6","OTC"
"Acelex 500 mg","Acelex 500 mg","Cephalexin","500 mg","ক্যাপসুল","4 x 10","First generation cephalosporins","ACME Laboratories Ltd.","12.5","12.5","OTC"
"Acelock 100 mg","Acelock 100 mg","Aceclofenac","100 mg","ট্যাবলেট","100's pack","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Bristol Pharmaceuticals Ltd.","3","3","OTC"
"Acelon 100 mg","Acelon 100 mg","Aceclofenac","100 mg","ট্যাবলেট","100's pack","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Central Pharmaceuticals Ltd.","3","3","OTC"
"Acemox 250 mg","Acemox 250 mg","Acetazolamide","250 mg","ট্যাবলেট","10 x 10","Carbonic anhydrase inhibitor","ACME Laboratories Ltd.","4","4","OTC"
"Acenac 100 mg","Acenac 100 mg","Aceclofenac","100 mg","ট্যাবলেট","5 x 10","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Medicon Pharmaceuticals Ltd.","4","4","OTC"
"Acenopan 100 mg","Acenopan 100 mg","Aceclofenac","100 mg","ট্যাবলেট","50's pack","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","RN Pharmaceuticals","4","4","OTC"
"Acep 120 mg/5 ml","Acep 120 mg/5 ml","Paracetamol","120 mg/5 ml","Oral Suspension","একক","Non-Opioid Analgesics","Zenith Pharmaceuticals Ltd.","35","35","OTC"
"Acep 500 mg","Acep 500 mg","Paracetamol","500 mg","ট্যাবলেট","20 x 10","Non-Opioid Analgesics","Zenith Pharmaceuticals Ltd.","1.2","1.2","OTC"
"Acep 80 mg/ml","Acep 80 mg/ml","Paracetamol","80 mg/ml","Pediatric Drops","একক","Non-Opioid Analgesics","Zenith Pharmaceuticals Ltd.","30","30","OTC"
"Acep Extra 500 mg+65 mg","Acep Extra 500 mg+65 mg","Paracetamol + Caffeine","500 mg+65 mg","ট্যাবলেট","20 x 10","Non-Opioid Analgesics","Zenith Pharmaceuticals Ltd.","1.5","1.5","OTC"
"Acepril 10 mg","Acepril 10 mg","Lisinopril","10 mg","ট্যাবলেট","2 x 14","Angiotensin-converting enzyme (ACE) inhibitors","Drug International Ltd.","7.05","7.05","OTC"
"Acepril 5 mg","Acepril 5 mg","Lisinopril","5 mg","ট্যাবলেট","4 x 14","Angiotensin-converting enzyme (ACE) inhibitors","Drug International Ltd.","4.05","4.05","OTC"
"Acepro 100 mg","Acepro 100 mg","Aceclofenac","100 mg","ট্যাবলেট","5 x 10","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","The White Horse Pharmaceuticals Ltd.","5","5","OTC"
"Aceril 2.5 mg","Aceril 2.5 mg","Ramipril","2.5 mg","ট্যাবলেট","3 x 10","Angiotensin-converting enzyme (ACE) inhibitors","The IBN SINA Pharmaceutical PLC","5","5","OTC"
"Aceril 5 mg","Aceril 5 mg","Ramipril","5 mg","ট্যাবলেট","3 x 10","Angiotensin-converting enzyme (ACE) inhibitors","The IBN SINA Pharmaceutical PLC","8","8","OTC"
"Aceron 100 mg","Aceron 100 mg","Aceclofenac","100 mg","ট্যাবলেট","10 x 10","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Nipa Pharmaceuticals Ltd.","4","4","OTC"
"Acerux 200 mg","Acerux 200 mg","Acyclovir (Oral)","200 mg","ট্যাবলেট","3 x 10","Herpes simplex & Varicella-zoster virus infections","Opsonin Pharma Ltd.","14.05","14.05","OTC"
"Acerux 200 mg/5 ml","Acerux 200 mg/5 ml","Acyclovir (Oral)","200 mg/5 ml","Oral Suspension","একক","Herpes simplex & Varicella-zoster virus infections","Opsonin Pharma Ltd.","125.47","125.47","OTC"
"Acerux 250 mg/vial","Acerux 250 mg/vial","Acyclovir (Injection)","250 mg/vial","আইভি ইনফিউশন","একক","Herpes simplex & Varicella-zoster virus infections","Opsonin Pharma Ltd.","400","400","Rx"
"Acerux 3%","Acerux 3%","Acyclovir (Ophthalmic)","3%","Ophthalmic Ointment","একক","Ophthalmic Anti-viral Products","Opsonin Pharma Ltd.","45.17","45.17","OTC"
"Acerux 400 mg","Acerux 400 mg","Acyclovir (Oral)","400 mg","ট্যাবলেট","2 x 10","Herpes simplex & Varicella-zoster virus infections","Opsonin Pharma Ltd.","22","22","OTC"
"Acerux 500 mg/vial","Acerux 500 mg/vial","Acyclovir (Injection)","500 mg/vial","আইভি ইনফিউশন","একক","Herpes simplex & Varicella-zoster virus infections","Opsonin Pharma Ltd.","700","700","Rx"
"Acerux-H 5%+1%","Acerux-H 5%+1%","Acyclovir + Hydrocortisone","5%+1%","ক্রিম","একক","Hydrocortisone & Combined preparations","Opsonin Pharma Ltd.","35","35","OTC"
"Aces Plus","Aces Plus","Super antioxidant [vitamins & minerals]","","ট্যাবলেট","1 x 30","Multi-vitamin & Multi-mineral combined preparations","Ambee Pharmaceuticals Ltd.","4","4","OTC"
"Aceta 120 mg/5 ml","Aceta 120 mg/5 ml","Paracetamol","120 mg/5 ml","Oral Suspension","একক","Non-Opioid Analgesics","Biopharma Limited","35","35","OTC"
"Aceta 500 mg","Aceta 500 mg","Paracetamol","500 mg","ট্যাবলেট","20 x 10","Non-Opioid Analgesics","Biopharma Limited","1.2","1.2","OTC"
"Aceta Extend 665 mg","Aceta Extend 665 mg","Paracetamol","665 mg","Tablet (Extended Release)","10 x 10","Non-Opioid Analgesics","Biopharma Limited","2","2","OTC"
"Aceta One 1000 mg","Aceta One 1000 mg","Paracetamol","1000 mg","ট্যাবলেট","10 x 10","Non-Opioid Analgesics","Biopharma Limited","2.25","2.25","OTC"
"Aceta-PD 80 mg/ml","Aceta-PD 80 mg/ml","Paracetamol","80 mg/ml","Pediatric Drops","একক","Non-Opioid Analgesics","Biopharma Limited","30","30","OTC"
"Aceta-T 325 mg+37.5 mg","Aceta-T 325 mg+37.5 mg","Paracetamol + Tramadol Hydrochloride","325 mg+37.5 mg","ট্যাবলেট","3 x 10","Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Biopharma Limited","8","8","OTC"
"Aceta-X 500 mg+65 mg","Aceta-X 500 mg+65 mg","Paracetamol + Caffeine","500 mg+65 mg","ট্যাবলেট","10 x 10","Non-Opioid Analgesics","Biopharma Limited","2.5","2.5","OTC"
"Aceten 100 mg/sachet","Aceten 100 mg/sachet","Acetylcysteine","100 mg/sachet","Effervescent Granules","20's pack","Antidote preparations, Cough expectorants & mucolytics","Eskayef Pharmaceuticals Ltd.","10","10","OTC"
"Aceten 600 mg","Aceten 600 mg","Acetylcysteine","600 mg","Effervescent Tablet","1 x 10","Antidote preparations, Cough expectorants & mucolytics","Eskayef Pharmaceuticals Ltd.","20","20","OTC"
"Aceto 500 mg","Aceto 500 mg","Paracetamol","500 mg","ট্যাবলেট","100's pack","Non-Opioid Analgesics","Reliance Pharmaceuticals Ltd.","1.2","1.2","OTC"
"Acetor 25 mg","Acetor 25 mg","Captopril","25 mg","ট্যাবলেট","10 x 10","Angiotensin-converting enzyme (ACE) inhibitors","Drug International Ltd.","3.05","3.05","OTC"
"ACF 100 mg","ACF 100 mg","Aceclofenac","100 mg","ট্যাবলেট","100's pack","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Decent Pharma Laboratories Ltd.","4","4","OTC"
"Acflam 100 mg","Acflam 100 mg","Aceclofenac","100 mg","ট্যাবলেট","100's pack","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Apollo Pharmaceutical Ltd.","4","4","OTC"
"Achnil 200 mg","Achnil 200 mg","Tolfenamic acid","200 mg","ট্যাবলেট","3 x 10","Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs), Other drugs for migraine","Desh Pharmaceuticals Ltd.","8","8","OTC"
"ACI Fruit Sal Tasty Saline","ACI Fruit Sal Tasty Saline","Oral rehydration salt [tasty]","","Oral Powder","20's pack","Oral electrolytes preparations","ACI Limited","7","7","OTC"
"ACI ORS 10.25 gm","ACI ORS 10.25 gm","Oral rehydration salt [glucose based]","10.25 gm","Oral Powder","20's pack","Oral electrolytes preparations","ACI Limited","6","6","OTC"
"ACI ORS Fruity 10 gm/sachet","ACI ORS Fruity 10 gm/sachet","Oral rehydration salt [flavore & glucose based]","10 gm/sachet","Oral Powder","20's pack","Oral electrolytes preparations","ACI Limited","6","6","OTC"
"Acicaft 0.25%","Acicaft 0.25%","Alcaftadine","0.25%","Ophthalmic Solution","একক","Ophthalmic Anti-allergic preparations","ACI Limited","400","400","OTC"
"Acical 500 mg","Acical 500 mg","Calcium Carbonate","500 mg","ট্যাবলেট","10 x 10","Minerals in bone formation, Specific mineral preparations","ACI Limited","4.01","4.01","OTC"
"Acical Jr. 250 mg","Acical Jr. 250 mg","Calcium Carbonate","250 mg","Chewable Tablet","5 x 10","Minerals in bone formation, Specific mineral preparations","ACI Limited","3.01","3.01","OTC"
"Acical-C 1000 mg+327 mg (Conventional calcium)+500 mg","Acical-C 1000 mg+327 mg (Conventional calcium)+500 mg","Calcium Lactate Gluconate + Calcium Carbonate + Vitamin C","1000 mg+327 mg (Conventional calcium)+500 mg","Effervescent Tablet","1 x 10","Specific mineral & vitamin combined preparations","ACI Limited","15","15","OTC"
"Acical-D 500 mg+200 IU","Acical-D 500 mg+200 IU","Conventional Calcium + Vitamin D3","500 mg+200 IU","ট্যাবলেট","5 x 10","Specific mineral & vitamin combined preparations","ACI Limited","8","8","OTC"
"Acical-DX 600 mg+400 IU","Acical-DX 600 mg+400 IU","Conventional Calcium + Vitamin D3","600 mg+400 IU","Effervescent Tablet","1 x 14","Specific mineral & vitamin combined preparations","ACI Limited","18","18","OTC"
"Acical-M","Acical-M","Calcium + Vitamin D3 + Multimineral","","ট্যাবলেট","1 x 30","Specific mineral & vitamin combined preparations","ACI Limited","8","8","OTC"
"Acical-MX","Acical-MX","Calcium + Vitamin D3 + Multimineral","","Effervescent Tablet","1 x 10","Specific mineral & vitamin combined preparations","ACI Limited","20","20","OTC"
"Aciclon 3%","Aciclon 3%","Acyclovir (Ophthalmic)","3%","Ophthalmic Ointment","একক","Ophthalmic Anti-viral Products","Reman Drug Laboratories Ltd.","60","60","OTC"
"Acicot 0.1%","Acicot 0.1%","Dexamethasone (Ophthalmic)","0.1%","Ophthalmic Solution","একক","","ACI Limited","65","65","OTC"
"Acidron 4 mg/5 ml","Acidron 4 mg/5 ml","Zoledronic Acid [For hypercalcemia]","4 mg/5 ml","আইভি ইনফিউশন","একক","Bisphosphonate preparations","ACI Limited","5000","5000","Rx"
"Acidrox M 400 mg","Acidrox M 400 mg","Magaldrate","400 mg","Chewable Tablet","150's pack","Antacids, Anti-dyspeptic/Carminatives","Syntho Laboratories Ltd.","1","1","OTC"
"Acifix 20 mg","Acifix 20 mg","Rabeprazole Sodium","20 mg","Capsule (Enteric Coated)","6 x 10","Proton Pump Inhibitor","Beximco Pharmaceuticals Ltd.","8","8","OTC"
"Acifix 20 mg","Acifix 20 mg","Rabeprazole Sodium","20 mg","Tablet (Enteric Coated)","10 x 10","Proton Pump Inhibitor","Beximco Pharmaceuticals Ltd.","7","7","OTC"
"Aciflox 200 mg","Aciflox 200 mg","Sparfloxacin","200 mg","ট্যাবলেট","1 x 10","4-Quinolone preparations","ACI Limited","12","12","OTC"
"Acilog 100 IU/ml","Acilog 100 IU/ml","Insulin Aspart [Protamine Crystallised]","100 IU/ml","SC Injection","5's pack","Rapid Acting Insulin","ACI Limited","825","825","OTC"
"Acilog Mix 30%+70%","Acilog Mix 30%+70%","Biphasic Insulin Aspart","30%+70%","SC Injection","5's pack","Combination Insulin","ACI Limited","825","825","OTC"
"Acipam 10 mg","Acipam 10 mg","Escitalopram Oxalate","10 mg","ট্যাবলেট","3 x 10","SSRIs & related anti-depressant drugs","The IBN SINA Pharmaceutical PLC","10","10","OTC"
"Acipam 5 mg","Acipam 5 mg","Escitalopram Oxalate","5 mg","ট্যাবলেট","5 x 10","SSRIs & related anti-depressant drugs","The IBN SINA Pharmaceutical PLC","5","5","OTC"
"Aciphin 1 gm/vial","Aciphin 1 gm/vial","Ceftriaxone Sodium","1 gm/vial","IV Injection","একক","Third generation cephalosporins","ACI Limited","200","200","OTC"
"Aciphin 1 gm/vial","Aciphin 1 gm/vial","Ceftriaxone Sodium","1 gm/vial","IM Injection","একক","Third generation cephalosporins","ACI Limited","191.29","191.29","OTC"
"Aciphin 2 gm/vial","Aciphin 2 gm/vial","Ceftriaxone Sodium","2 gm/vial","IV Injection","একক","Third generation cephalosporins","ACI Limited","320","320","OTC"
"Aciphin 250 mg/vial","Aciphin 250 mg/vial","Ceftriaxone Sodium","250 mg/vial","IM Injection","একক","Third generation cephalosporins","ACI Limited","100.3","100.3","OTC"
